2026-01-30 08:13:21 | INFO | Starting GNN model training
2026-01-30 08:13:21 | INFO | Device: cpu
2026-01-30 08:13:22 | INFO | Train batches: 1169
2026-01-30 08:13:22 | INFO | Model parameters: 49,283
2026-01-30 08:13:23 | INFO | Epoch 1 | Batch 0/1169 | Loss: 0.0711
2026-01-30 08:13:25 | INFO | Epoch 1 | Batch 100/1169 | Loss: 0.0634
2026-01-30 08:13:26 | INFO | Epoch 1 | Batch 200/1169 | Loss: 0.0616
2026-01-30 08:13:27 | INFO | Epoch 1 | Batch 300/1169 | Loss: 0.0615
2026-01-30 08:13:28 | INFO | Epoch 1 | Batch 400/1169 | Loss: 0.0587
2026-01-30 08:13:30 | INFO | Epoch 1 | Batch 500/1169 | Loss: 0.0654
2026-01-30 08:13:31 | INFO | Epoch 1 | Batch 600/1169 | Loss: 0.0624
2026-01-30 08:13:32 | INFO | Epoch 1 | Batch 700/1169 | Loss: 0.0613
2026-01-30 08:13:33 | INFO | Epoch 1 | Batch 800/1169 | Loss: 0.0577
2026-01-30 08:13:35 | INFO | Epoch 1 | Batch 900/1169 | Loss: 0.0600
2026-01-30 08:13:36 | INFO | Epoch 1 | Batch 1000/1169 | Loss: 0.0635
2026-01-30 08:13:37 | INFO | Epoch 1 | Batch 1100/1169 | Loss: 0.0621
2026-01-30 08:13:40 | INFO | Epoch 1 | Train Loss: 0.0621 | Val Loss: 0.0482
2026-01-30 08:13:40 | INFO | Val F1: 0.1216 | Prec: 0.0663 | Rec: 0.7242 | AUC: 0.7513
2026-01-30 08:13:40 | INFO | New best model saved (F1: 0.1216)
2026-01-30 08:13:40 | INFO | Epoch 2 | Batch 0/1169 | Loss: 0.0611
2026-01-30 08:13:41 | INFO | Epoch 2 | Batch 100/1169 | Loss: 0.0594
2026-01-30 08:13:42 | INFO | Epoch 2 | Batch 200/1169 | Loss: 0.0602
2026-01-30 08:13:44 | INFO | Epoch 2 | Batch 300/1169 | Loss: 0.0592
2026-01-30 08:13:45 | INFO | Epoch 2 | Batch 400/1169 | Loss: 0.0614
2026-01-30 08:13:46 | INFO | Epoch 2 | Batch 500/1169 | Loss: 0.0616
2026-01-30 08:13:48 | INFO | Epoch 2 | Batch 600/1169 | Loss: 0.0611
2026-01-30 08:13:49 | INFO | Epoch 2 | Batch 700/1169 | Loss: 0.0577
2026-01-30 08:13:50 | INFO | Epoch 2 | Batch 800/1169 | Loss: 0.0592
2026-01-30 08:13:51 | INFO | Epoch 2 | Batch 900/1169 | Loss: 0.0577
2026-01-30 08:13:53 | INFO | Epoch 2 | Batch 1000/1169 | Loss: 0.0554
2026-01-30 08:13:54 | INFO | Epoch 2 | Batch 1100/1169 | Loss: 0.0590
2026-01-30 08:13:56 | INFO | Epoch 2 | Train Loss: 0.0598 | Val Loss: 0.0437
2026-01-30 08:13:56 | INFO | Val F1: 0.1367 | Prec: 0.0758 | Rec: 0.6945 | AUC: 0.7615
2026-01-30 08:13:56 | INFO | New best model saved (F1: 0.1367)
2026-01-30 08:13:56 | INFO | Epoch 3 | Batch 0/1169 | Loss: 0.0604
2026-01-30 08:13:57 | INFO | Epoch 3 | Batch 100/1169 | Loss: 0.0598
2026-01-30 08:13:59 | INFO | Epoch 3 | Batch 200/1169 | Loss: 0.0564
2026-01-30 08:14:00 | INFO | Epoch 3 | Batch 300/1169 | Loss: 0.0543
2026-01-30 08:14:01 | INFO | Epoch 3 | Batch 400/1169 | Loss: 0.0560
2026-01-30 08:14:02 | INFO | Epoch 3 | Batch 500/1169 | Loss: 0.0570
2026-01-30 08:14:04 | INFO | Epoch 3 | Batch 600/1169 | Loss: 0.0566
2026-01-30 08:14:05 | INFO | Epoch 3 | Batch 700/1169 | Loss: 0.0553
2026-01-30 08:14:06 | INFO | Epoch 3 | Batch 800/1169 | Loss: 0.0578
2026-01-30 08:14:07 | INFO | Epoch 3 | Batch 900/1169 | Loss: 0.0583
2026-01-30 08:14:08 | INFO | Epoch 3 | Batch 1000/1169 | Loss: 0.0584
2026-01-30 08:14:09 | INFO | Epoch 3 | Batch 1100/1169 | Loss: 0.0579
2026-01-30 08:14:11 | INFO | Epoch 3 | Train Loss: 0.0586 | Val Loss: 0.0451
2026-01-30 08:14:11 | INFO | Val F1: 0.1365 | Prec: 0.0754 | Rec: 0.7165 | AUC: 0.7668
2026-01-30 08:14:11 | INFO | Epoch 4 | Batch 0/1169 | Loss: 0.0567
2026-01-30 08:14:12 | INFO | Epoch 4 | Batch 100/1169 | Loss: 0.0564
2026-01-30 08:14:13 | INFO | Epoch 4 | Batch 200/1169 | Loss: 0.0600
2026-01-30 08:14:14 | INFO | Epoch 4 | Batch 300/1169 | Loss: 0.0585
2026-01-30 08:14:15 | INFO | Epoch 4 | Batch 400/1169 | Loss: 0.0564
2026-01-30 08:14:17 | INFO | Epoch 4 | Batch 500/1169 | Loss: 0.0598
2026-01-30 08:14:18 | INFO | Epoch 4 | Batch 600/1169 | Loss: 0.0596
2026-01-30 08:14:19 | INFO | Epoch 4 | Batch 700/1169 | Loss: 0.0606
2026-01-30 08:14:20 | INFO | Epoch 4 | Batch 800/1169 | Loss: 0.0548
2026-01-30 08:14:21 | INFO | Epoch 4 | Batch 900/1169 | Loss: 0.0548
2026-01-30 08:14:23 | INFO | Epoch 4 | Batch 1000/1169 | Loss: 0.0598
2026-01-30 08:14:24 | INFO | Epoch 4 | Batch 1100/1169 | Loss: 0.0558
2026-01-30 08:14:26 | INFO | Epoch 4 | Train Loss: 0.0577 | Val Loss: 0.0426
2026-01-30 08:14:26 | INFO | Val F1: 0.1437 | Prec: 0.0801 | Rec: 0.7000 | AUC: 0.7725
2026-01-30 08:14:26 | INFO | New best model saved (F1: 0.1437)
2026-01-30 08:14:26 | INFO | Epoch 5 | Batch 0/1169 | Loss: 0.0549
2026-01-30 08:14:27 | INFO | Epoch 5 | Batch 100/1169 | Loss: 0.0573
2026-01-30 08:14:29 | INFO | Epoch 5 | Batch 200/1169 | Loss: 0.0585
2026-01-30 08:14:30 | INFO | Epoch 5 | Batch 300/1169 | Loss: 0.0592
2026-01-30 08:14:31 | INFO | Epoch 5 | Batch 400/1169 | Loss: 0.0585
2026-01-30 08:14:32 | INFO | Epoch 5 | Batch 500/1169 | Loss: 0.0566
2026-01-30 08:14:34 | INFO | Epoch 5 | Batch 600/1169 | Loss: 0.0550
2026-01-30 08:14:35 | INFO | Epoch 5 | Batch 700/1169 | Loss: 0.0582
2026-01-30 08:14:36 | INFO | Epoch 5 | Batch 800/1169 | Loss: 0.0589
2026-01-30 08:14:37 | INFO | Epoch 5 | Batch 900/1169 | Loss: 0.0531
2026-01-30 08:14:38 | INFO | Epoch 5 | Batch 1000/1169 | Loss: 0.0535
2026-01-30 08:14:40 | INFO | Epoch 5 | Batch 1100/1169 | Loss: 0.0584
2026-01-30 08:14:42 | INFO | Epoch 5 | Train Loss: 0.0569 | Val Loss: 0.0436
2026-01-30 08:14:42 | INFO | Val F1: 0.1366 | Prec: 0.0753 | Rec: 0.7326 | AUC: 0.7749
2026-01-30 08:14:42 | INFO | Epoch 6 | Batch 0/1169 | Loss: 0.0543
